ifct_code,group_code,group_name,dataset_scope,official_label,source_table,extraction_method,review_status,review_note
A001,A,Cereals and Millets,core_table_1,"Amaranth seed, black (Amaranthus cruentus)",Table 1,direct_extract,reviewed,
A002,A,Cereals and Millets,core_table_1,"Amaranth seed, pale brown (Amaranthus cruentus)",Table 1,manual_reviewed_wrapped_row,reviewed,
A003,A,Cereals and Millets,core_table_1,Bajra (Pennisetum typhoideum),Table 1,direct_extract,reviewed,
A004,A,Cereals and Millets,core_table_1,Barley (Hordeum vulgare),Table 1,direct_extract,reviewed,
A005,A,Cereals and Millets,core_table_1,Jowar (Sorghum vulgare),Table 1,direct_extract,reviewed,
A006,A,Cereals and Millets,core_table_1,"Maize, dry (Zea mays)",Table 1,direct_extract,reviewed,
A007,A,Cereals and Millets,core_table_1,"Maize, tender, local (Zea mays)",Table 1,direct_extract,reviewed,
A008,A,Cereals and Millets,core_table_1,"Maize, tender, sweet (Zea mays)",Table 1,direct_extract,reviewed,
A009,A,Cereals and Millets,core_table_1,Quinoa(Chenopodium quinoa),Table 1,direct_extract,reviewed,
A010,A,Cereals and Millets,core_table_1,Ragi (Eleusine coracana),Table 1,direct_extract,reviewed,
A011,A,Cereals and Millets,core_table_1,Rice flakes (Oryza sativa ),Table 1,direct_extract,reviewed,
A012,A,Cereals and Millets,core_table_1,Rice puffed (Oryza sativa ),Table 1,direct_extract,reviewed,
A013,A,Cereals and Millets,core_table_1,"Rice, raw, brown (Oryza sativa )",Table 1,direct_extract,reviewed,
A014,A,Cereals and Millets,core_table_1,"Rice, parboiled, milled (Oryza sativa )",Table 1,direct_extract,reviewed,
A015,A,Cereals and Millets,core_table_1,"Rice, raw, milled (Oryza sativa )",Table 1,direct_extract,reviewed,
A016,A,Cereals and Millets,core_table_1,Samai (Panicum miliare),Table 1,direct_extract,reviewed,
A017,A,Cereals and Millets,core_table_1,Varagu (Paspalum scrobiculatum),Table 1,direct_extract,reviewed,
A018,A,Cereals and Millets,core_table_1,"Wheat flour, refined (Triticum aestivum)",Table 1,direct_extract,reviewed,
A019,A,Cereals and Millets,core_table_1,"Wheat flour, atta (Triticum aestivum)",Table 1,direct_extract,reviewed,
A020,A,Cereals and Millets,core_table_1,"Wheat, whole (Triticum aestivum)",Table 1,direct_extract,reviewed,
A021,A,Cereals and Millets,core_table_1,"Wheat, bulgur (Triticum aestivum)",Table 1,direct_extract,reviewed,
A022,A,Cereals and Millets,core_table_1,"Wheat, semolina (Triticum aestivum)",Table 1,direct_extract,reviewed,
A023,A,Cereals and Millets,core_table_1,"Wheat, vermicelli (Triticum aestivum)",Table 1,direct_extract,reviewed,
A024,A,Cereals and Millets,core_table_1,"Wheat, vermicelli, roasted (Triticum aestivum)",Table 1,direct_extract,reviewed,
B001,B,Grain Legumes,core_table_1,"Bengal gram, dal (Cicer arietinum)",Table 1,direct_extract,reviewed,
